site_id,lon,lat
1105,6.36474,46.61097
1106,6.36484,46.61107
1107,6.36494,46.61117
1108,6.36504,46.61127
1109,6.3651,46.59298
1110,6.36514,46.61137
1111,6.3652,46.59308
1112,6.3653,46.59318
1113,6.3654,46.59328
1114,6.36546,46.57499
1115,6.3655,46.59338
1116,6.36556,46.57509
1117,6.36566,46.57519
1118,6.36576,46.57529
1119,6.36581,46.557
1120,6.36586,46.57539
1121,6.36591,46.5571
1122,6.36601,46.5572
1123,6.36611,46.5573
1124,6.36617,46.53901
1125,6.36621,46.5574
1126,6.36627,46.53911
1127,6.36637,46.53921
1128,6.36647,46.53931
1129,6.36653,46.52102
1130,6.36663,46.52112
1131,6.36673,46.52122
1132,6.36683,46.52132
1133,6.36688,46.50303
1134,6.36693,46.52142
1135,6.36698,46.50313
1136,6.36708,46.50323
1137,6.36718,46.50333
1138,6.36724,46.48504
1139,6.36728,46.50343
1140,6.36734,46.48514
1141,6.36744,46.48524
1142,6.36754,46.48534
1143,6.3676,46.46705
1144,6.36764,46.48544
1145,6.3677,46.46715
1146,6.3678,46.46725
1147,6.3679,46.46735
1148,6.368,46.46745
1149,6.3884,46.73714
1150,6.3885,46.73724
